fromId,toId,car_time
06085503306,06085506305,19
06085503306,06085507807,24
06085503306,06085506103,18
06085503306,06085512047,16
06085503306,06085503713,9
06085503306,06085504423,16
06085503306,06085505402,18
06085503306,06085504410,14
06085503306,06085510900,27
06085503306,06085503510,7
06085503306,06085511916,18
06085503306,06085503117,8
06085503306,06085507808,24
06085503306,06085509404,25
06085503306,06085512037,16
06085503306,06085503218,12
06085503306,06085503329,10
06085503306,06085506803,19
06085503306,06085500100,11
06085503306,06085508602,22
06085503306,06085511707,43
06085503306,06085508403,22
06085503306,06085503707,10
06085503306,06085503212,7
06085503306,06085503708,9
06085503306,06085511912,22
06085503306,06085504421,17
06085503306,06085503336,7
06085503306,06085512508,34
06085503306,06085512506,32
06085503306,06085508003,19
06085503306,06085503210,10
06085503306,06085501200,11
06085503306,06085502906,18
06085503306,06085504413,16
06085503306,06085501501,8
06085503306,06085509106,22
06085503306,06085501600,8
06085503306,06085509403,25
06085503306,06085512200,59
06085503306,06085503111,7
06085503306,06085503712,9
06085503306,06085506606,19
06085503306,06085504806,17
06085503306,06085501502,10
06085503306,06085507205,25
06085503306,06085503113,11
06085503306,06085503123,12
06085503306,06085504319,12
06085503306,06085506605,18
06085503306,06085505500,19
06085503306,06085506000,18
06085503306,06085512039,14
06085503306,06085507701,23
06085503306,06085503711,7
06085503306,06085504506,19
06085503306,06085503321,6
06085503306,06085509901,25
06085503306,06085504805,22
06085503306,06085509600,24
06085503306,06085508101,20
06085503306,06085503509,8
06085503306,06085504504,16
06085503306,06085503112,10
06085503306,06085508202,20
06085503306,06085508704,19
06085503306,06085503313,10
06085503306,06085503217,10
06085503306,06085503508,10
06085503306,06085504507,17
06085503306,06069000200,47
06085503306,06085503333,11
06085503306,06085504322,13
06085503306,06069000501,53
06085503306,06085501000,12
06085503306,06085502603,16
06085503306,06085503207,9
06085503306,06085512313,28
06085503306,06085505007,16
06085503306,06085500200,13
06085503306,06085508508,21
06085503306,06085512604,31
06085503306,06085504321,11
06085503306,06085505302,17
06085503306,06085506502,20
06085503306,06085503315,8
06085503306,06085503332,19
06085503306,06085504802,19
06085503306,06085508503,22
06085503306,06085500500,15
06085503306,06069000701,52
06085503306,06069000100,58
06085503306,06085509108,20
06085503306,06085512025,15
06085503306,06085504412,16
06085503306,06069000502,51
06085503306,06085511302,29
06085503306,06085507100,23
06085503306,06085510801,26
06085503306,06085511701,30
06085503306,06085507302,32
06085503306,06085506202,19
06085503306,06085502908,17
06085503306,06085504101,11
06085503306,06085506601,19
06085503306,06085503122,8
06085503306,06085507703,25
06085503306,06085512030,17
06085503306,06085511914,17
06085503306,06085507206,25
06085503306,06085506203,17
06085503306,06085505006,14
06085503306,06085507805,23
06085503306,06085506101,19
06085503306,06085507500,25
06085503306,06085502907,16
06085503306,06085502102,13
06085503306,06085505203,14
06085503306,06085508601,22
06085503306,06085504602,37
06085503306,06085502701,17
06085503306,06085509105,22
06085503306,06085505009,18
06085503306,06085504001,8
06085503306,06085512100,24
06085503306,06085512017,13
06085503306,06085503506,5
06085503306,06085506802,18
06085503306,06085506804,19
06085503306,06085505403,19
06085503306,06085503204,11
06085503306,06085504414,17
06085503306,06085504317,12
06085503306,06085502604,17
06085503306,06085508800,20
06085503306,06085508900,19
06085503306,06069000801,59
06085503306,06069000702,55
06085503306,06085508203,21
06085503306,06085505600,17
06085503306,06085508004,19
06085503306,06085507401,23
06085503306,06085503326,13
06085503306,06085512001,17
06085503306,06085503327,10
06085503306,06085504308,21
06085503306,06085512036,15
06085503306,06085507600,34
06085503306,06085503504,4
06085503306,06085501700,12
06085503306,06085502001,14
06085503306,06085502901,16
06085503306,06085507806,22
06085503306,06085508303,22
06085503306,06085500901,13
06085503306,06085502101,16
06085503306,06085512027,12
06085503306,06085503902,10
06085503306,06085504314,14
06085503306,06085511915,17
06085503306,06085512021,13
06085503306,06085505401,20
06085503306,06085502301,14
06085503306,06085506302,17
06085503306,06085506703,21
06085503306,06085506801,21
06085503306,06085500600,14
06085503306,06085502601,15
06085503306,06085507905,24
06085503306,06085507301,26
06085503306,06085504316,12
06085503306,06085512005,14
06085503306,06085508504,22
06085503306,06085502702,20
06085503306,06085505100,17
06085503306,06085506701,23
06085503306,06085511702,24
06085503306,06085503330,25
06085503306,06085510600,30
06085503306,06085509401,27
06085503306,06085504102,11
06085503306,06085504311,16
06085503306,06085504201,12
06085503306,06069000400,50
06085503306,06085512308,26
06085503306,06085503115,13
06085503306,06085513000,32
06085503306,06085512024,15
06085503306,06085503334,18
06085503306,06085511608,34
06085503306,06085511910,19
06085503306,06085503304,5
06085503306,06085509802,23
06085503306,06085510802,25
06085503306,06085512314,26
06085503306,06085506702,21
06085503306,06085511100,25
06085503306,06085507702,27
06085503306,06085504420,24
06085503306,06085512401,33
06085503306,06085510001,24
06085503306,06085512033,17
06085503306,06085504417,33
06085503306,06085510700,29
06085503306,06085500800,12
06085503306,06085504002,7
06085503306,06085504202,16
06085503306,06085512022,14
06085503306,06085511704,27
06085503306,06085502909,16
06085503306,06085512305,33
06085503306,06085510002,22
06085503306,06085512034,14
06085503306,06085512402,31
06085503306,06085501900,12
06085503306,06085502202,15
06085503306,06085506304,17
06085503306,06085507203,19
06085503306,06085510500,28
06085503306,06085504422,18
06085503306,06085512052,14
06085503306,06085503337,7
06085503306,06085509109,20
06085503306,06085511400,28
06085503306,06085503331,14
06085503306,06085503325,9
06085503306,06085505900,17
06085503306,06085511609,33
06085503306,06085503312,22
06085503306,06085511800,63
06085503306,06085503709,10
06085503306,06085509102,22
06085503306,06085508102,19
06085503306,06085506603,20
06085503306,06085501102,12
06085503306,06085508304,21
06085503306,06085512510,46
06085503306,06085509302,25
06085503306,06085511907,20
06085503306,06085508507,20
06085503306,06085502201,13
06085503306,06085503802,12
06085503306,06085503803,11
06085503306,06085506503,18
06085503306,06085512307,27
06085503306,06085502902,16
06085503306,06085511000,26
06085503306,06085512053,15
06085503306,06085512503,42
06085503306,06085507904,22
06085503306,06085505008,16
06085503306,06085509303,23
06085503306,06085502500,11
06085503306,06085508703,21
06085503306,06085503214,9
06085503306,06085504416,13
06085503306,06085507402,22
06085503306,06085508401,23
06085503306,06085511911,25
06085503306,06085512602,35
06085503306,06085503208,11
06085503306,06085502002,12
06085503306,06085500300,14
06085503306,06085504315,14
06085503306,06085505001,16
06085503306,06085504601,33
06085503306,06085502400,13
06085503306,06085511200,27
06085503306,06085503213,9
06085503306,06085506204,17
06085503306,06085507002,33
06085503306,06085502903,14
06085503306,06085512312,25
06085503306,06085501101,13
06085503306,06085512509,38
06085503306,06085503804,9
06085503306,06085511705,32
06085503306,06085509304,23
06085503306,06085512035,17
06085503306,06085501300,10
06085503306,06085502910,16
06085503306,06085508204,20
06085503306,06085504318,11
06085503306,06085510200,25
06085503306,06085503322,8
06085503306,06085512309,27
06085503306,06085512505,34
06085503306,06085502302,14
06085503306,06085506900,27
06085503306,06085512043,12
06085503306,06085504415,15
06085503306,06085510400,27
06085503306,06085505700,16
06085503306,06085510100,22
06085503306,06085504411,14
06085503306,06085504307,10
06085503306,06085503903,9
06085503306,06085505202,16
06085503306,06085508301,22
06085503306,06085511909,31
06085503306,06085511905,18
06085503306,06085504803,22
06085503306,06085512310,23
06085503306,06085505305,20
06085503306,06085509000,20
06085503306,06085503305,5
06085503306,06085503602,7
06085503306,06085505304,19
06085503306,06085504323,13
06085503306,06085501800,11
06085503306,06085505301,18
06085503306,06085507906,22
06085503306,06085506501,18
06085503306,06085504700,27
06085503306,06085505800,15
06085503306,06085507001,33
06085503108,06085512042,11
06085503108,06085503306,14
06085503108,06085503108,0
06085503108,06085503323,16
06085503108,06069000600,55
06085503108,06085503401,14
06085503108,06085512020,8
06085503108,06085503110,14
06085503108,06085512029,12
06085503108,06085503118,12
06085503108,06085503116,7
06085503108,06085509107,25
06085503108,06085510803,28
06085503108,06085504418,21
06085503108,06085509902,25
06085503108,06085511301,30
06085503108,06085511913,12
06085503108,06085503703,14
06085503108,06085503105,13
06085503108,06085503710,17
06085503108,06085503003,6
06085503108,06085509201,24
06085503108,06085508505,23
06085503108,06085503211,12
06085503108,06085500902,12
06085503108,06085506102,19
06085503108,06085510300,26
06085503108,06085501402,13
06085503108,06085512026,10
06085503108,06085512032,15
06085503108,06085500400,14
06085503108,06069000802,115
06085503108,06085503121,8
06085503108,06085502800,11
06085503108,06085512603,33
06085503108,06085506402,15
06085503108,06085506301,19
06085503108,06085512019,7
06085503108,06085506604,18
06085503108,06085503001,7
06085503108,06085512031,13
06085503108,06085506401,15
06085503108,06085501401,15
06085503108,06085503324,16
06085503108,06085508001,21
06085503108,06085503511,15
06085503108,06085504505,19
06085503108,06085512045,13
06085503108,06085509202,25
06085503108,06085512023,12
06085503108,06069000300,54
06085503108,06085512311,22
06085503108,06085503402,13
06085503108,06085509500,26
06085503108,06085509700,24
06085503108,06085504901,20
06085503108,06085503002,4
06085503108,06085503601,15
06085503108,06085504320,21
06085503108,06085508404,23
06085503108,06085512038,16
06085503108,06085505303,19
06085503108,06085503507,16
06085503108,06085507903,22
06085503108,06085506305,18
06085503108,06085507807,21
06085503108,06085506103,19
06085503108,06085512047,10
06085503108,06085503713,16
06085503108,06085504423,22
06085503108,06085505402,19
06085503108,06085504410,20
06085503108,06085510900,29
06085503108,06085503510,17
06085503108,06085511916,10
06085503108,06085503117,13
06085503108,06085507808,20
06085503108,06085509404,26
06085503108,06085512037,13
06085503108,06085503218,10
06085503108,06085503329,15
06085503108,06085506803,12
06085503108,06085500100,14
06085503108,06085508602,23
06085503108,06085511707,43
06085503108,06085508403,22
06085503108,06085503707,16
06085503108,06085503212,12
06085503108,06085503708,15
06085503108,06085511912,15
06085503108,06085504421,24
06085503108,06085503336,12
06085503108,06085512508,35
06085503108,06085512506,33
06085503108,06085508003,20
06085503108,06085503210,12
06085503108,06085501200,13
06085503108,06085502906,11
06085503108,06085504413,22
06085503108,06085501501,13
06085503108,06085509106,24
06085503108,06085501600,11
06085503108,06085509403,27
06085503108,06085512200,61
06085503108,06085503111,13
06085503108,06085503712,16
06085503108,06085506606,16
06085503108,06085504806,19
06085503108,06085501502,14
06085503108,06085507205,20
06085503108,06085503113,8
06085503108,06085503123,8
06085503108,06085504319,18
06085503108,06085506605,17
06085503108,06085505500,20
06085503108,06085506000,19
06085503108,06085512039,14
06085503108,06085507701,20
06085503108,06085503711,15
06085503108,06085504506,24
06085503108,06085503321,15
06085503108,06085509901,26
06085503108,06085504805,23
06085503108,06085509600,25
06085503108,06085508101,21
06085503108,06085503509,18
06085503108,06085504504,22
06085503108,06085503112,10
06085503108,06085508202,21
06085503108,06085508704,20
06085503108,06085503313,17
06085503108,06085503217,9
06085503108,06085503508,19
06085503108,06085504507,22
06085503108,06069000200,48
06085503108,06085503333,16
06085503108,06085504322,19
06085503108,06069000501,55
06085503108,06085501000,12
06085503108,06085502603,12
06085503108,06085503207,10
06085503108,06085512313,29
06085503108,06085505007,17
06085503108,06085500200,12
06085503108,06085508508,22
06085503108,06085512604,33
06085503108,06085504321,18
06085503108,06085505302,19
06085503108,06085506502,16
06085503108,06085503315,15
06085503108,06085503332,24
06085503108,06085504802,20
06085503108,06085508503,23
06085503108,06085500500,15
06085503108,06069000701,53
06085503108,06069000100,59
06085503108,06085509108,21
06085503108,06085512025,9
06085503108,06085504412,22
06085503108,06069000502,52
06085503108,06085511302,31
06085503108,06085507100,18
06085503108,06085510801,27
06085503108,06085511701,31
06085503108,06085507302,27
06085503108,06085506202,20
06085503108,06085502908,9
06085503108,06085504101,18
06085503108,06085506601,18
06085503108,06085503122,11
06085503108,06085507703,25
06085503108,06085512030,13
06085503108,06085511914,9
06085503108,06085507206,20
06085503108,06085506203,18
06085503108,06085505006,16
06085503108,06085507805,23
06085503108,06085506101,20
06085503108,06085507500,18
06085503108,06085502907,9
06085503108,06085502102,13
06085503108,06085505203,16
06085503108,06085508601,23
06085503108,06085504602,39
06085503108,06085502701,12
06085503108,06085509105,23
