GEOID,car_access,transit_access,ratio
06085512200,964,791,0.8205394190871369
06085503111,934459,3040,0.0032532192423637635
06085503712,935559,10616,0.011347226631350881
06085506606,965437,4750,0.004920051748586392
06085504806,1052363,4801,0.004562114023393069
06085501502,956366,2306,0.002411210770771859
06085507205,898761,971,0.0010803762068002506
06085503113,993621,19126,0.019248788018771744
06085503123,926711,1872,0.0020200472423441613
06085504319,919174,2854,0.003104961628592628
06085506605,969310,3469,0.003578834428614169
06085505500,1017874,4130,0.004057476662140893
06085506000,1012176,5663,0.005594876780322789
06085512039,858356,578,6.733802757830084e-4
06085507701,1010379,3843,0.003803523232371219
06085503711,957438,4667,0.004874467067319242
06085504506,933430,2483,0.0026600816344021514
06085503321,879154,996,0.001132907317716805
06085509901,978122,8244,0.008428396457701595
06085504805,1003271,5969,0.0059495390577421255
06085509600,986023,22812,0.023135362968206626
06085508101,1000706,7986,0.007980365861701639
06085503509,855427,1438,0.0016810318121826878
06085504504,930195,15851,0.017040513010712806
06085503112,964029,17842,0.018507741987014912
06085508202,1002271,27704,0.027641226773996254
06085508704,1030505,24357,0.02363598429896022
06085503313,822645,1137,0.0013821271629925423
06085503217,889396,3491,0.003925135710077401
06085503508,873018,1896,0.0021717765269444614
06085504507,1009933,2076,0.0020555819049382484
06069000200,44656,4047,0.09062611967036904
06085503333,853858,993,0.0011629568382564783
