GEOID,med_incomeE,total_hhsE,no_veh_hhE,one_veh_hhE,two_veh_hhE,three_veh_hhE,fourmore_veh_hhE,no_worker_hhE,one_worker_hhE,two_worker_hhE,threemore_worker_hhE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_jobs,basic_jobs,retail_jobs,service_jobs,WFH_jobs,total_emp,basic_emp,retail_emp,service_emp,WFH_emp,geometry
06085506000,56538,1762,0,478,898,260,126,254,735,617,156,406,624,301,431,27,11,41,7,0,23,71,28,69,61,134,233,246,110,252,449,304,17,3,284,99,2644,849,168,1627,901,"list(list(c(-121.96975, -121.9666, -121.96424, -121.96011, -121.95929, -121.9545, -121.95295, -121.95232, -121.95139, -121.95495, -121.95852, -121.95912, -121.96007, -121.96434, -121.9664, -121.9675, -121.96773, -121.96773, -121.96782, -121.96975, 37.34063, 37.34162, 37.34236, 37.34363, 37.34368, 37.34389, 37.34452, 37.34347, 37.34167, 37.3404, 37.33687, 37.33616, 37.33501, 37.32989, 37.32743, 37.32865, 37.32988, 37.33498, 37.33573, 37.34063)))"
06085512039,41778,1451,93,143,522,465,228,171,336,683,261,150,366,226,709,7,40,20,25,38,11,22,43,23,49,88,250,203,62,284,286,578,49,89,440,75,2660,883,234,1543,634,"list(list(c(-121.80103, -121.799178, -121.796481, -121.793997, -121.791947, -121.781191, -121.769559, -121.770716, -121.777991, -121.786095, -121.792408, -121.80249, -121.80103, 37.25664, 37.257136, 37.257159, 37.255545, 37.254441, 37.24854, 37.242067, 37.242042, 37.240985, 37.245854, 37.249631, 37.255625, 37.25664)))"
06085507701,86284,1326,81,238,561,328,118,377,455,383,111,299,421,237,369,28,73,10,21,39,0,29,8,19,40,19,90,97,101,225,527,3325,512,350,2463,276,2008,716,99,1193,806,"list(list(c(-122.064049, -122.063098, -122.061006, -122.0623, -122.06221, -122.060311, -122.060476, -122.061457, -122.06179, -122.059939, -122.060192, -122.059609, -122.061245, -122.063791, -122.063841, -122.06046, -122.05618, -122.05496, -122.05279, -122.04606, -122.04153, -122.03237, -122.03234, -122.03234, -122.03291, -122.04144, -122.04964, -122.05884, -122.05919, -122.06063, -122.06338, -122.064049, 37.312956, 37.315509, 37.314816, 37.317547, 37.319415, 37.321212, 37.322179, 37.322881, 37.324833, 
37.326712, 37.328532, 37.32936, 37.331495, 37.333073, 37.333237, 37.33202, 37.32862, 37.32723, 37.32281, 37.32278, 37.3228, 37.3228, 37.315625, 37.31556, 37.3156, 37.31557, 37.31555, 37.31553, 37.31427, 37.31361, 37.31271, 37.312956)))"
06085503711,26613,1057,50,148,290,207,362,159,269,286,343,95,106,116,740,12,38,5,56,59,10,17,45,62,72,110,119,118,137,136,61,306,71,35,200,17,1904,534,226,1144,333,"list(list(c(-121.852651, -121.846795, -121.840765, -121.838531, -121.837878, -121.837798, -121.838539, -121.841367, -121.843745, -121.846326, -121.849307, -121.8513, -121.852121, -121.852651, 37.34985, 37.352655, 37.355521, 37.355648, 37.354077, 37.352481, 37.349971, 37.347113, 37.345233, 37.343204, 37.346312, 37.348338, 37.349297, 37.34985)))"
06085504506,60914,2199,118,712,1022,275,72,564,889,677,69,247,615,505,832,114,17,81,123,37,37,107,15,0,57,75,340,145,278,356,417,2097,817,75,1205,555,3416,1205,241,1970,1117,"list(list(c(-121.922948, -121.922569, -121.917265, -121.912652, -121.911988, -121.911489, -121.910382, -121.908932, -121.908621, -121.910847, -121.911662, -121.914437, -121.914195, -121.914478, -121.919168, -121.919898, -121.922671, -121.922948, 37.45505, 37.455538, 37.458391, 37.46065, 37.459536, 37.457493, 37.45251, 37.446668, 37.44626, 37.445902, 37.445929, 37.445767, 37.440863, 37.439959, 37.440038, 37.440032, 37.453645, 37.45505)))"
06085503321,36989,1124,36,87,361,181,459,148,287,366,323,81,253,176,614,20,11,12,11,37,18,10,12,39,22,54,112,143,47,219,357,742,33,211,498,44,2686,848,227,1611,653,"list(list(c(-121.817439, -121.805913, -121.800618, -121.798894, -121.798301, -121.796957, -121.800474, -121.807759, -121.808441, -121.809591, -121.812686, -121.813986, -121.81411, -121.817439, 37.337819, 37.341519, 37.335547, 37.330449, 37.328667, 37.324918, 37.325583, 37.324034, 37.323855, 37.326624, 37.331139, 37.332913, 37.333091, 37.337819)))"
06085509901,106528,741,47,118,377,153,46,168,301,233,39,161,247,139,194,24,0,6,6,0,27,13,27,0,25,30,36,23,95,73,356,4474,219,97,4158,401,1064,354,58,652,465,"list(list(c(-122.09597, -122.09594, -122.09525, -122.08702, -122.08644, -122.077906, -122.07788, -122.078072, -122.077855, -122.077854, -122.07786, -122.07786, -122.082308, -122.08698, -122.087098, -122.088973, -122.09428, -122.09603, -122.09597, 37.37076, 37.37368, 37.37335, 37.37355, 37.37364, 37.373449, 37.37156, 37.37036, 37.366812, 37.366125, 37.36582, 37.3651, 37.364635, 37.36502, 37.365952, 37.366841, 37.36686, 37.366898, 37.37076)))"
06085504805,48856,2957,173,1137,1119,434,94,451,1117,1097,292,800,1130,507,520,46,60,100,85,48,19,123,78,91,126,222,320,406,243,390,600,821,112,293,416,159,3878,1460,246,2172,1514,"list(list(c(-122.01289, -122.006109, -122.00479, -121.995782, -121.99576, -121.99571, -121.995663, -121.995584, -121.995505, -121.99566, -122.00564, -122.00784, -122.007907, -122.009834, -122.009982, -122.008795, -122.012805, -122.00945, -122.010252, -122.01289, 37.40614, 37.407689, 37.407976, 37.409928, 37.40933, 37.40333, 37.400113, 37.399719, 37.399351, 37.39936, 37.39907, 37.39964, 37.396634, 37.396637, 37.396092, 37.394681, 37.395558, 37.40574, 37.406314, 37.40614)))"
06081612600,69786,2074,206,1077,644,131,16,348,961,690,75,753,690,411,220,90,76,82,61,36,0,0,0,30,89,214,201,145,94,264,692,6369,564,956,4849,2404,2298,621,111,1566,982,"list(list(c(-122.187594, -122.181765, -122.180638, -122.170303, -122.174146, -122.175136, -122.176317, -122.180604, -122.182932, -122.184206, -122.18438, -122.188491, -122.187077, -122.191666, -122.187594, 37.455822, 37.452913, 37.453699, 37.447185, 37.444779, 37.443014, 37.444036, 37.446351, 37.443566, 37.444241, 37.444557, 37.446846, 37.448546, 37.450987, 37.455822)))"
06085509600,82976,1595,91,739,570,177,18,251,686,563,95,526,505,389,175,65,13,17,10,12,99,7,0,15,43,97,72,72,149,170,754,9167,1299,162,7706,6068,2197,920,90,1187,1095,"list(list(c(-122.087967, -122.08662, -122.08335, -122.082194, -122.06857, -122.0686, -122.07143, -122.07291, -122.07648, -122.07838, -122.07909, -122.08075, -122.08397, -122.08831, -122.087967, 37.388594, 37.39043, 37.39556, 37.396917, 37.39148, 37.39116, 37.392, 37.38969, 37.391094, 37.38809, 37.38673, 37.38412, 37.3857, 37.38784, 37.388594)))"
