fromId,toId,walk_time
06085512029,06085512042,50
06085512029,06085512020,68
06085512029,06085512029,0
06085512029,06085503116,99
06085512029,06085512026,51
06085512029,06085512032,72
06085512029,06085512019,86
06085512029,06085512031,41
06085512029,06085512045,48
06085512029,06085512023,25
06085512029,06085512038,102
06085512029,06085512047,57
06085512029,06085512037,26
06085512029,06085503218,87
06085512029,06085503210,113
06085512029,06085512039,62
06085512029,06085503217,97
06085512029,06085503207,118
06085512029,06085512025,80
06085512029,06085512030,41
06085512029,06085512017,69
06085512029,06085503204,112
06085512029,06085512001,90
06085512029,06085512036,28
06085512029,06085512027,73
06085512029,06085511915,117
06085512029,06085512021,40
06085512029,06085512005,111
06085512029,06085512024,99
06085512029,06085512033,46
06085512029,06085512022,29
06085512029,06085512034,87
06085512029,06085512052,86
06085512029,06085512053,70
06085512029,06085503208,87
06085512029,06085512035,107
06085512029,06085502910,112
06085512029,06085512043,45
06085503118,06085503306,66
06085503118,06085503108,119
06085503118,06085503323,105
06085503118,06085503401,68
06085503118,06085512020,113
06085503118,06085503110,41
06085503118,06085503118,1
06085503118,06085503116,119
06085503118,06085503703,75
06085503118,06085503105,44
06085503118,06085503710,101
06085503118,06085503211,32
06085503118,06085500902,79
06085503118,06085501402,70
06085503118,06085503121,77
06085503118,06085512019,116
06085503118,06085503001,120
06085503118,06085501401,85
06085503118,06085503324,105
06085503118,06085503511,97
06085503118,06085503402,51
06085503118,06085503601,102
06085503118,06085503507,83
06085503118,06085503510,107
06085503118,06085503117,27
06085503118,06085503218,92
06085503118,06085503707,118
06085503118,06085503212,47
06085503118,06085503336,89
06085503118,06085503210,90
06085503118,06085501200,95
06085503118,06085501501,62
06085503118,06085501600,68
06085503118,06085503111,26
06085503118,06085503712,114
06085503118,06085501502,64
06085503118,06085503113,79
06085503118,06085503123,102
06085503118,06085503711,87
06085503118,06085503321,79
06085503118,06085503112,60
06085503118,06085503217,78
06085503118,06085501000,102
06085503118,06085503207,72
06085503118,06085503315,93
06085503118,06085503122,53
06085503118,06085504001,116
06085503118,06085512017,120
06085503118,06085503506,96
06085503118,06085503204,72
06085503118,06085503327,115
06085503118,06085503504,75
06085503118,06085501700,87
06085503118,06085500901,89
06085503118,06085503115,79
06085503118,06085503304,57
06085503118,06085500800,107
06085503118,06085504002,100
06085503118,06085503337,88
06085503118,06085503325,110
06085503118,06085503709,118
06085503118,06085501102,104
06085503118,06085502500,114
06085503118,06085503214,56
06085503118,06085503208,102
06085503118,06085502400,114
06085503118,06085503213,42
06085503118,06085501101,114
06085503118,06085501300,83
06085503118,06085503322,109
06085503118,06085503305,68
06085503118,06085503602,75
06085503118,06085501800,102
06085503116,06085512042,79
06085503116,06085503108,53
06085503116,06085512020,34
06085503116,06085512029,99
06085503116,06085503118,119
06085503116,06085503116,0
06085503116,06085503003,70
06085503116,06085503211,108
06085503116,06085512026,53
06085503116,06085503121,82
06085503116,06085512019,22
06085503116,06085503001,74
06085503116,06085512045,97
06085503116,06085512023,79
06085503116,06085503002,57
06085503116,06085512047,83
06085503116,06085512037,103
06085503116,06085503218,49
06085503116,06085503212,89
06085503116,06085503336,110
06085503116,06085503210,70
06085503116,06085503113,102
06085503116,06085503123,72
06085503116,06085503217,49
06085503116,06085503207,82
06085503116,06085512025,42
06085503116,06085502908,112
06085503116,06085503122,111
06085503116,06085512030,119
06085503116,06085511914,120
06085503116,06085502907,92
06085503116,06085512017,82
06085503116,06085503204,63
06085503116,06085501700,118
06085503116,06085512027,62
06085503116,06085511915,108
06085503116,06085512021,60
06085503116,06085502301,113
06085503116,06085512005,52
06085503116,06085503115,77
06085503116,06085512024,62
06085503116,06085503304,118
06085503116,06085512022,91
06085503116,06085502909,91
06085503116,06085512052,81
06085503116,06085503337,100
06085503116,06085502902,108
06085503116,06085512053,81
06085503116,06085502500,81
06085503116,06085503214,78
06085503116,06085503208,69
06085503116,06085502400,96
06085503116,06085503213,78
06085503116,06085502903,91
06085503116,06085502910,101
06085503116,06085512043,91
06085503116,06085501800,117
06085509107,06085509107,0
06085509107,06085509902,46
06085509107,06085509201,69
06085509107,06085508505,93
06085509107,06085510300,103
06085509107,06085509202,82
06085509107,06085509500,67
06085509107,06085509700,49
06085509107,06085508404,46
06085509107,06085509404,94
06085509107,06085508602,47
06085509107,06085508403,63
06085509107,06085509106,12
06085509107,06085509403,79
06085509107,06085504806,118
06085509107,06085509901,69
06085509107,06085509600,51
06085509107,06085508202,115
06085509107,06085508704,94
06085509107,06085508508,104
06085509107,06085508503,76
06085509107,06085509108,56
06085509107,06085507805,99
06085509107,06085508601,31
06085509107,06085509105,19
